"","Province_State","Date","Confirmed","Deaths","confirmed_changes","death_changes"
"1","Alabama",2020-01-22,0,0,0,0
"2","Alabama",2020-01-23,0,0,0,0
"3","Alabama",2020-01-24,0,0,0,0
"4","Alabama",2020-01-25,0,0,0,0
"5","Alabama",2020-01-26,0,0,0,0
"6","Alabama",2020-01-27,0,0,0,0
"7","Alabama",2020-01-28,0,0,0,0
"8","Alabama",2020-01-29,0,0,0,0
"9","Alabama",2020-01-30,0,0,0,0
"10","Alabama",2020-01-31,0,0,0,0
"11","Alabama",2020-02-01,0,0,0,0
"12","Alabama",2020-02-02,0,0,0,0
"13","Alabama",2020-02-03,0,0,0,0
"14","Alabama",2020-02-04,0,0,0,0
"15","Alabama",2020-02-05,0,0,0,0
"16","Alabama",2020-02-06,0,0,0,0
"17","Alabama",2020-02-07,0,0,0,0
"18","Alabama",2020-02-08,0,0,0,0
"19","Alabama",2020-02-09,0,0,0,0
"20","Alabama",2020-02-10,0,0,0,0
"21","Alabama",2020-02-11,0,0,0,0
"22","Alabama",2020-02-12,0,0,0,0
"23","Alabama",2020-02-13,0,0,0,0
"24","Alabama",2020-02-14,0,0,0,0
"25","Alabama",2020-02-15,0,0,0,0
"26","Alabama",2020-02-16,0,0,0,0
"27","Alabama",2020-02-17,0,0,0,0
"28","Alabama",2020-02-18,0,0,0,0
"29","Alabama",2020-02-19,0,0,0,0
"30","Alabama",2020-02-20,0,0,0,0
"31","Alabama",2020-02-21,0,0,0,0
"32","Alabama",2020-02-22,0,0,0,0
"33","Alabama",2020-02-23,0,0,0,0
"34","Alabama",2020-02-24,0,0,0,0
"35","Alabama",2020-02-25,0,0,0,0
"36","Alabama",2020-02-26,0,0,0,0
"37","Alabama",2020-02-27,0,0,0,0
"38","Alabama",2020-02-28,0,0,0,0
"39","Alabama",2020-02-29,0,0,0,0
"40","Alabama",2020-03-01,0,0,0,0
"41","Alabama",2020-03-02,0,0,0,0
"42","Alabama",2020-03-03,0,0,0,0
"43","Alabama",2020-03-04,0,0,0,0
"44","Alabama",2020-03-05,0,0,0,0
"45","Alabama",2020-03-06,0,0,0,0
"46","Alabama",2020-03-07,0,0,0,0
"47","Alabama",2020-03-08,0,0,0,0
"48","Alabama",2020-03-09,0,0,0,0
"49","Alabama",2020-03-10,0,0,0,0
"50","Alabama",2020-03-11,0,0,0,0
"51","Alabama",2020-03-12,0,0,0,0
"52","Alabama",2020-03-13,0,0,0,0
"53","Alabama",2020-03-14,0,0,0,0
"54","Alabama",2020-03-15,0,0,0,0
"55","Alabama",2020-03-16,0,0,0,0
"56","Alabama",2020-03-17,0,0,0,0
"57","Alabama",2020-03-18,0,0,0,0
"58","Alabama",2020-03-19,0,0,0,0
"59","Alabama",2020-03-20,0,0,0,0
"60","Alabama",2020-03-21,0,0,0,0
"61","Alabama",2020-03-22,0,0,0,0
"62","Alabama",2020-03-23,0,0,0,0
"63","Alabama",2020-03-24,1,0,1,0
"64","Alabama",2020-03-25,4,0,3,0
"65","Alabama",2020-03-26,6,0,2,0
"66","Alabama",2020-03-27,6,0,0,0
"67","Alabama",2020-03-28,6,0,0,0
"68","Alabama",2020-03-29,6,0,0,0
"69","Alabama",2020-03-30,6,0,0,0
"70","Alabama",2020-03-31,7,0,1,0
"71","Alabama",2020-04-01,8,0,1,0
"72","Alabama",2020-04-02,10,0,2,0
"73","Alabama",2020-04-03,12,0,2,0
"74","Alabama",2020-04-04,12,0,0,0
"75","Alabama",2020-04-05,12,0,0,0
"76","Alabama",2020-04-06,12,0,0,0
"77","Alabama",2020-04-07,12,1,0,1
"78","Alabama",2020-04-08,12,1,0,0
"79","Alabama",2020-04-09,15,1,3,0
"80","Alabama",2020-04-10,17,1,2,0
"81","Alabama",2020-04-11,19,1,2,0
"82","Alabama",2020-04-12,19,1,0,0
"83","Alabama",2020-04-13,19,1,0,0
"84","Alabama",2020-04-14,23,1,4,0
"85","Alabama",2020-04-15,24,1,1,0
"86","Alabama",2020-04-16,26,1,2,0
"87","Alabama",2020-04-17,26,2,0,1
"88","Alabama",2020-04-18,25,2,0,0
"89","Alabama",2020-04-19,26,2,1,0
"90","Alabama",2020-04-20,28,1,2,0
"91","Alabama",2020-04-21,30,1,2,0
"92","Alabama",2020-04-22,32,2,2,1
"93","Alabama",2020-04-23,33,2,1,0
"94","Alabama",2020-04-24,36,2,3,0
"95","Alabama",2020-04-25,36,2,0,0
"96","Alabama",2020-04-26,37,2,1,0
"97","Alabama",2020-04-27,39,3,2,1
"98","Alabama",2020-04-28,40,4,1,1
"99","Alabama",2020-04-29,43,4,3,0
"100","Alabama",2020-04-30,44,4,1,0
"101","Alabama",2020-05-01,42,3,0,0
"102","Alabama",2020-05-02,45,3,3,0
"103","Alabama",2020-05-03,48,3,3,0
"104","Alabama",2020-05-04,53,3,5,0
"105","Alabama",2020-05-05,53,3,0,0
"106","Alabama",2020-05-06,58,3,5,0
"107","Alabama",2020-05-07,61,3,3,0
"108","Alabama",2020-05-08,67,4,6,1
"109","Alabama",2020-05-09,68,4,1,0
"110","Alabama",2020-05-10,74,4,6,0
"111","Alabama",2020-05-11,84,4,10,0
"112","Alabama",2020-05-12,91,4,7,0
"113","Alabama",2020-05-13,93,4,2,0
"114","Alabama",2020-05-14,104,4,11,0
"115","Alabama",2020-05-15,103,4,0,0
"116","Alabama",2020-05-16,110,4,7,0
"117","Alabama",2020-05-17,110,4,0,0
"118","Alabama",2020-05-18,120,4,10,0
"119","Alabama",2020-05-19,127,4,7,0
"120","Alabama",2020-05-20,136,3,9,0
"121","Alabama",2020-05-21,143,3,7,0
"122","Alabama",2020-05-22,149,3,6,0
"123","Alabama",2020-05-23,155,3,6,0
"124","Alabama",2020-05-24,159,3,4,0
"125","Alabama",2020-05-25,168,3,9,0
"126","Alabama",2020-05-26,189,3,21,0
"127","Alabama",2020-05-27,192,3,3,0
"128","Alabama",2020-05-28,205,3,13,0
"129","Alabama",2020-05-29,212,3,7,0
"130","Alabama",2020-05-30,216,4,4,1
"131","Alabama",2020-05-31,221,4,5,0
"132","Alabama",2020-06-01,233,5,12,1
"133","Alabama",2020-06-02,239,5,6,0
"134","Alabama",2020-06-03,239,5,0,0
"135","Alabama",2020-06-04,241,5,2,0
"136","Alabama",2020-06-05,248,5,7,0
"137","Alabama",2020-06-06,259,5,11,0
"138","Alabama",2020-06-07,265,5,6,0
"139","Alabama",2020-06-08,272,5,7,0
"140","Alabama",2020-06-09,282,5,10,0
"141","Alabama",2020-06-10,295,6,13,1
"142","Alabama",2020-06-11,312,6,17,0
"143","Alabama",2020-06-12,323,6,11,0
"144","Alabama",2020-06-13,331,6,8,0
"145","Alabama",2020-06-14,357,6,26,0
"146","Alabama",2020-06-15,364,6,7,0
"147","Alabama",2020-06-16,367,6,3,0
"148","Alabama",2020-06-17,369,6,2,0
"149","Alabama",2020-06-18,394,7,25,1
"150","Alabama",2020-06-19,405,7,11,0
"151","Alabama",2020-06-20,425,8,20,1
"152","Alabama",2020-06-21,428,8,3,0
"153","Alabama",2020-06-22,436,8,8,0
"154","Alabama",2020-06-23,447,8,11,0
"155","Alabama",2020-06-24,463,10,16,2
"156","Alabama",2020-06-25,473,10,10,0
"157","Alabama",2020-06-26,482,10,9,0
"158","Alabama",2020-06-27,492,11,10,1
"159","Alabama",2020-06-28,497,11,5,0
"160","Alabama",2020-06-29,521,11,24,0
"161","Alabama",2020-06-30,530,11,9,0
"162","Alabama",2020-07-01,545,11,15,0
"163","Alabama",2020-07-02,553,12,8,1
"164","Alabama",2020-07-03,560,12,7,0
"165","Alabama",2020-07-04,583,12,23,0
"166","Alabama",2020-07-05,607,12,24,0
"167","Alabama",2020-07-06,610,12,3,0
"168","Alabama",2020-07-07,636,12,26,0
"169","Alabama",2020-07-08,643,12,7,0
"170","Alabama",2020-07-09,653,13,10,1
"171","Alabama",2020-07-10,662,14,9,1
"172","Alabama",2020-07-11,676,14,14,0
"173","Alabama",2020-07-12,698,15,22,1
"174","Alabama",2020-07-13,715,15,17,0
"175","Alabama",2020-07-14,733,17,18,2
"176","Alabama",2020-07-15,743,18,10,1
"177","Alabama",2020-07-16,765,19,22,1
"178","Alabama",2020-07-17,773,20,8,1
"179","Alabama",2020-07-18,810,20,37,0
"180","Alabama",2020-07-19,823,20,13,0
"181","Alabama",2020-07-20,838,20,15,0
"182","Alabama",2020-07-21,845,20,7,0
"183","Alabama",2020-07-22,863,20,18,0
"184","Alabama",2020-07-23,877,20,14,0
"185","Alabama",2020-07-24,891,20,14,0
"186","Alabama",2020-07-25,900,20,9,0
"187","Alabama",2020-07-26,909,20,9,0
"188","Alabama",2020-07-27,932,20,23,0
"189","Alaska",2020-01-22,0,0,0,0
"190","Alaska",2020-01-23,0,0,0,0
"191","Alaska",2020-01-24,0,0,0,0
"192","Alaska",2020-01-25,0,0,0,0
"193","Alaska",2020-01-26,0,0,0,0
"194","Alaska",2020-01-27,0,0,0,0
"195","Alaska",2020-01-28,0,0,0,0
"196","Alaska",2020-01-29,0,0,0,0
"197","Alaska",2020-01-30,0,0,0,0
"198","Alaska",2020-01-31,0,0,0,0
"199","Alaska",2020-02-01,0,0,0,0
"200","Alaska",2020-02-02,0,0,0,0
"201","Alaska",2020-02-03,0,0,0,0
"202","Alaska",2020-02-04,0,0,0,0
"203","Alaska",2020-02-05,0,0,0,0
"204","Alaska",2020-02-06,0,0,0,0
"205","Alaska",2020-02-07,0,0,0,0
"206","Alaska",2020-02-08,0,0,0,0
"207","Alaska",2020-02-09,0,0,0,0
"208","Alaska",2020-02-10,0,0,0,0
"209","Alaska",2020-02-11,0,0,0,0
"210","Alaska",2020-02-12,0,0,0,0
"211","Alaska",2020-02-13,0,0,0,0
"212","Alaska",2020-02-14,0,0,0,0
"213","Alaska",2020-02-15,0,0,0,0
"214","Alaska",2020-02-16,0,0,0,0
"215","Alaska",2020-02-17,0,0,0,0
"216","Alaska",2020-02-18,0,0,0,0
"217","Alaska",2020-02-19,0,0,0,0
"218","Alaska",2020-02-20,0,0,0,0
"219","Alaska",2020-02-21,0,0,0,0
"220","Alaska",2020-02-22,0,0,0,0
"221","Alaska",2020-02-23,0,0,0,0
"222","Alaska",2020-02-24,0,0,0,0
"223","Alaska",2020-02-25,0,0,0,0
"224","Alaska",2020-02-26,0,0,0,0
